,,12 months to Q3 2017,,,,,12 months to Q1 2018,,,,,12 months to Q3 2018,,,,,12 months to Q1 2019,,,,
Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£),Count of rents,Average (£),Lower quartile (£),Median (£),Upper quartile (£)
"2,058","2,383",60,"2,102","1,712","1,950","2,383",40,"2,066","1,560","1,925","2,438",70,"2,189","1,712","2,117","2,383",100,"2,377","1,744","2,210","2,600"
"1,200","1,350",910,"1,187","1,000","1,200","1,350",780,"1,184","1,000","1,200","1,350",740,"1,193","1,018","1,200","1,350",810,"1,192","1,000","1,200","1,350"
"1,395","1,700","2,360","1,507","1,148","1,350","1,650","2,100","1,508","1,158","1,350","1,690","2,380","1,535","1,200","1,376","1,700","2,810","1,548","1,175","1,365","1,700"
"1,095","1,250",880,"1,082",900,"1,062","1,250",770,"1,044",850,"1,023","1,200",690,"1,026",850,"1,000","1,225",820,"1,084",875,"1,100","1,275"
"1,499","1,798","1,780","1,557","1,200","1,450","1,750","2,020","1,571","1,235","1,480","1,800","2,260","1,582","1,250","1,495","1,800","2,010","1,578","1,250","1,500","1,800"
"1,200","1,400","1,460","1,234",965,"1,150","1,400","1,520","1,226",965,"1,150","1,380","1,710","1,250",975,"1,200","1,400","2,270","1,318","1,000","1,225","1,495"
"1,842","2,427","1,890","2,066","1,426","1,820","2,383","1,660","1,961","1,350","1,733","2,297","2,990","2,117","1,495","1,842","2,392","4,160","2,427","1,625","2,000","2,665"
"1,100","1,295","1,300","1,127",900,"1,100","1,300","2,010","1,144",900,"1,100","1,300","1,560","1,133",900,"1,100","1,275","1,850","1,112",900,"1,100","1,250"
"1,400","1,720","2,630","1,519","1,200","1,400","1,699","2,820","1,514","1,175","1,400","1,699","2,840","1,532","1,175","1,400","1,700","2,020","1,484","1,195","1,375","1,650"
"1,300","1,500","1,590","1,339","1,050","1,275","1,500","1,170","1,324","1,050","1,250","1,500",500,"1,357","1,075","1,300","1,475",870,"1,325","1,050","1,275","1,500"
"1,300","1,600",870,"1,375","1,100","1,325","1,600",730,"1,434","1,150","1,350","1,650",880,"1,392","1,100","1,300","1,595","1,230","1,380","1,100","1,325","1,600"
"1,668","2,145","1,370","1,752","1,350","1,603","1,993","1,530","1,795","1,365","1,625","2,058","1,570","1,856","1,430","1,733","2,123","1,370","1,834","1,430","1,712","2,123"
"1,755","2,492","2,200","1,980","1,343","1,625","2,200","1,440","1,741","1,257","1,500","1,950","2,120","2,005","1,352","1,647","2,250","2,180","2,070","1,400","1,690","2,275"
"1,400","1,685","1,850","1,507","1,150","1,400","1,668","1,290","1,496","1,192","1,400","1,690","1,050","1,520","1,220","1,425","1,733","1,550","1,513","1,203","1,425","1,712"
"1,350","1,650","1,670","1,390","1,150","1,350","1,600","1,760","1,361","1,100","1,300","1,600","1,900","1,359","1,100","1,300","1,600","2,080","1,396","1,150","1,350","1,600"
"1,050","1,237",720,"1,103",910,"1,100","1,250",710,"1,135",925,"1,100","1,300",780,"1,135",900,"1,100","1,300",890,"1,131",925,"1,100","1,300"
"1,170","1,400","1,690","1,239",950,"1,200","1,400","1,560","1,281",995,"1,200","1,475","1,350","1,245",970,"1,200","1,400","1,690","1,268","1,000","1,200","1,450"
"1,350","1,650","1,530","1,401","1,090","1,300","1,600","1,950","1,309","1,025","1,250","1,500","2,100","1,296","1,025","1,250","1,475","1,750","1,410","1,095","1,300","1,600"
"1,733","2,210","2,780","1,865","1,430","1,712","2,167","2,480","1,860","1,413","1,700","2,167","2,580","1,904","1,473","1,750","2,249","2,560","1,895","1,455","1,733","2,232"
"2,611","3,857","1,880","3,881","1,993","2,795","4,333",760,"2,882","1,675","2,253","3,142","1,360","3,173","1,733","2,383","3,467","2,170","3,208","1,777","2,427","3,489"
"1,300","1,650","1,280","1,407","1,100","1,300","1,600","1,110","1,406","1,100","1,300","1,600",560,"1,355","1,035","1,258","1,567",590,"1,396","1,075","1,300","1,595"
"1,550","1,900","1,920","1,661","1,300","1,550","1,900","2,220","1,647","1,300","1,517","1,842","2,380","1,670","1,300","1,550","1,850","1,920","1,751","1,300","1,600","1,950"
"1,257","1,500","1,360","1,314","1,100","1,275","1,500","1,680","1,306","1,078","1,300","1,500","1,980","1,280","1,050","1,275","1,480","1,940","1,318","1,050","1,275","1,500"
"1,400","1,795","1,310","1,551","1,200","1,400","1,750","1,500","1,584","1,200","1,400","1,750","1,370","1,576","1,200","1,400","1,750","1,460","1,542","1,200","1,400","1,750"
"1,375","1,620","1,640","1,401","1,200","1,365","1,620","1,590","1,374","1,150","1,350","1,595","1,650","1,413","1,200","1,400","1,600","1,890","1,422","1,200","1,400","1,650"
"1,200","1,450","1,630","1,260","1,000","1,200","1,450","1,380","1,270","1,000","1,200","1,475","1,330","1,267","1,000","1,203","1,450","1,610","1,303","1,050","1,250","1,500"
"1,500","2,000","1,830","1,671","1,200","1,430","1,800","1,880","1,891","1,295","1,525","2,000","1,250","2,000","1,350","1,600","2,250","1,890","1,896","1,300","1,600","2,000"
"1,500","1,900","2,550","1,629","1,257","1,495","1,880","2,710","1,623","1,289","1,500","1,846","2,650","1,705","1,349","1,560","1,950","2,720","1,676","1,300","1,525","1,907"
"1,100","1,300","1,020","1,139",925,"1,100","1,250","1,090","1,137",925,"1,100","1,250",810,"1,114",925,"1,075","1,225","1,040","1,130",925,"1,100","1,250"
"1,675","2,014","2,510","1,768","1,408","1,647","1,978","2,490","1,739","1,387","1,610","1,993","2,780","1,762","1,400","1,647","1,993","2,790","1,773","1,408","1,647","1,993"
"1,250","1,500","1,410","1,304","1,100","1,250","1,450","1,350","1,300","1,050","1,250","1,460","1,530","1,303","1,050","1,275","1,475","1,580","1,314","1,075","1,295","1,500"
"1,650","2,115","2,750","1,887","1,400","1,668","2,167","3,060","1,873","1,400","1,650","2,123","3,970","1,855","1,400","1,650","2,100","3,980","1,828","1,400","1,650","2,080"
"2,275","3,033","2,830","2,853","1,733","2,265","3,033","2,710","2,784","1,733","2,265","3,033","3,100","2,709","1,755","2,275","3,023","3,190","2,832","1,733","2,275","3,133"